periodo_tarifa,proveedor,ruta,sol_galon,vigencia_desde,vigencia_hasta
ACTUAL,QOLPARO,Piura,23.88,2026-04-01,
ACTUAL,HECARO,Pucallpa,29.15,2026-04-01,
ACTUAL,LMG,Pucallpa,29.33,2026-04-01,
ACTUAL,QOLPARO,Pucallpa,26.10,2026-04-01,
ACTUAL,HECARO,Trujillo,29.90,2026-04-01,
ACTUAL,LMG,Trujillo,29.61,2026-04-01,
ACTUAL,QOLPARO,Trujillo,17.69,2026-04-01,
ACTUAL,QOLPARO,Trujillo - Cajamarca,20.34,2026-04-01,
ACTUAL,HECARO,Trujillo - Chiclayo,22.05,2026-04-01,
ACTUAL,QOLPARO,Trujillo - Chiclayo,18.60,2026-04-01,
ACTUAL,HECARO,Trujillo - Piura,35.02,2026-04-01,
ACTUAL,LMG,Trujillo - Piura,24.28,2026-04-01,
ACTUAL,QOLPARO,Trujillo - Piura,23.82,2026-04-01,
