fecha_vigencia,lista_id,planta,valor
05.03.2026,COMB-12-2026,TARAPOTO,17.5171
05.03.2026,COMB-12-2026,YURIMAGUAS,14.6
05.05.2026,COMB-26-2026,CHIMBOTE,20.3078
05.05.2026,COMB-26-2026,CUSCO,23.836
05.05.2026,COMB-26-2026,EL MILAGRO,23.7534
05.05.2026,COMB-26-2026,ETEN,23.2578
05.05.2026,COMB-26-2026,ILO,23.3994
05.05.2026,COMB-26-2026,IQUITOS,18.1
05.05.2026,COMB-26-2026,JULIACA,23.7298
05.05.2026,COMB-26-2026,LIMA,21.6058
05.05.2026,COMB-26-2026,MOLLENDO,23.5528
05.05.2026,COMB-26-2026,PISCO,23.4348
05.05.2026,COMB-26-2026,PIURA,21.4406
05.05.2026,COMB-26-2026,PTO. MALDONADO,20.0583
05.05.2026,COMB-26-2026,PUCALLPA,18.39
05.05.2026,COMB-26-2026,SALAVERRY,23.5174
05.05.2026,COMB-26-2026,SUPE,22.0542
05.05.2026,COMB-26-2026,TALARA,21.24
05.05.2026,COMB-26-2026,TARAPOTO,24.1487
05.05.2026,COMB-26-2026,YURIMAGUAS,17.69
05.06.2026,COMB-35-2026,CHIMBOTE,20.1898
05.06.2026,COMB-35-2026,CUSCO,23.0808
05.06.2026,COMB-35-2026,EL MILAGRO,21.7592
05.06.2026,COMB-35-2026,ETEN,20.178
05.06.2026,COMB-35-2026,ILO,23.2342
05.06.2026,COMB-35-2026,IQUITOS,16.81
05.06.2026,COMB-35-2026,JULIACA,22.9746
05.06.2026,COMB-35-2026,LIMA,19.6588
05.06.2026,COMB-35-2026,MOLLENDO,22.7976
05.06.2026,COMB-35-2026,PISCO,20.1072
05.06.2026,COMB-35-2026,PIURA,19.4464
05.06.2026,COMB-35-2026,PTO. MALDONADO,19.5183
05.06.2026,COMB-35-2026,PUCALLPA,16.87
05.06.2026,COMB-35-2026,SALAVERRY,20.8742
05.06.2026,COMB-35-2026,SUPE,20.119
05.06.2026,COMB-35-2026,TALARA,19.2458
05.06.2026,COMB-35-2026,TARAPOTO,22.1545
05.06.2026,COMB-35-2026,YURIMAGUAS,15.6
06.01.2026,COMB-01-2026,CHIMBOTE,12.685
06.01.2026,COMB-01-2026,CUSCO,15.104
06.01.2026,COMB-01-2026,EL MILAGRO,14.2662
06.01.2026,COMB-01-2026,ETEN,13.2868
06.01.2026,COMB-01-2026,ILO,14.3724
06.01.2026,COMB-01-2026,IQUITOS,11.65
06.01.2026,COMB-01-2026,JULIACA,14.9978
06.01.2026,COMB-01-2026,LIMA,13.0508
06.01.2026,COMB-01-2026,MOLLENDO,14.5258
06.01.2026,COMB-01-2026,PISCO,13.6998
06.01.2026,COMB-01-2026,PIURA,12.2484
06.01.2026,COMB-01-2026,PTO. MALDONADO,12.2083
06.01.2026,COMB-01-2026,PUCALLPA,11.64
06.01.2026,COMB-01-2026,SALAVERRY,13.5464
06.01.2026,COMB-01-2026,SUPE,13.4992
06.01.2026,COMB-01-2026,TALARA,12.0478
06.01.2026,COMB-01-2026,TARAPOTO,14.6615
06.01.2026,COMB-01-2026,YURIMAGUAS,12.07
06.03.2026,COMB-13-2026,CHIMBOTE,16.8504
06.03.2026,COMB-13-2026,CUSCO,18.3844
06.03.2026,COMB-13-2026,EL MILAGRO,18.3018
06.03.2026,COMB-13-2026,ETEN,17.4522
06.03.2026,COMB-13-2026,ILO,17.9478
06.03.2026,COMB-13-2026,IQUITOS,15.18
06.03.2026,COMB-13-2026,JULIACA,18.2782
06.03.2026,COMB-13-2026,LIMA,17.2162
06.03.2026,COMB-13-2026,MOLLENDO,18.1012
06.03.2026,COMB-13-2026,PISCO,17.8652
06.03.2026,COMB-13-2026,PIURA,15.989
06.03.2026,COMB-13-2026,PTO. MALDONADO,15.4383
06.03.2026,COMB-13-2026,PUCALLPA,15.17
06.03.2026,COMB-13-2026,SALAVERRY,17.7118
06.03.2026,COMB-13-2026,SUPE,17.6646
06.03.2026,COMB-13-2026,TALARA,15.7884
06.03.2026,COMB-13-2026,TARAPOTO,18.6971
06.03.2026,COMB-13-2026,YURIMAGUAS,15.6
06.06.2026,COMB-36-2026,CHIMBOTE,20.1898
06.06.2026,COMB-36-2026,CUSCO,23.0808
06.06.2026,COMB-36-2026,EL MILAGRO,21.7592
06.06.2026,COMB-36-2026,ETEN,20.178
06.06.2026,COMB-36-2026,ILO,23.2342
06.06.2026,COMB-36-2026,IQUITOS,16.81
06.06.2026,COMB-36-2026,JULIACA,22.9746
06.06.2026,COMB-36-2026,LIMA,19.6588
06.06.2026,COMB-36-2026,MOLLENDO,22.7976
06.06.2026,COMB-36-2026,PISCO,20.1072
06.06.2026,COMB-36-2026,PIURA,19.4464
06.06.2026,COMB-36-2026,PTO. MALDONADO,19.5183
06.06.2026,COMB-36-2026,PUCALLPA,16.87
06.06.2026,COMB-36-2026,SALAVERRY,20.8742
06.06.2026,COMB-36-2026,SUPE,20.119
